ID;OutcomeType;AnimalType;DaysUponOutcome;Sex;Neutered;isMix;nbrofColors;hasName
A682347;4;0;0.0028767123287671234;0;0;1;2;0
A701627;0;1;0.1;1;1;1;2;1
A690902;0;0;0.00821917808219178;0;1;1;2;1
A712979;4;0;0.0009589041095890411;1;0;1;1;0
A707687;0;0;0.00821917808219178;0;1;1;1;1
A683443;4;1;0.05;1;0;1;1;0
A597644;3;1;0.2;0;1;1;2;1
A682784;0;1;0.1;1;1;0;2;1
A709863;4;0;0.05;1;0;1;2;1
A678506;2;1;0.55;0;1;1;2;1
A713029;4;0;0.00410958904109589;0;0;1;1;1
A712236;0;1;0.1;0;1;1;2;1
A683961;4;0;0.0019178082191780822;2;2;1;1;0
A714740;3;1;0.3;0;1;1;1;1
A691847;4;1;0.024657534246575342;1;1;1;2;1
A711392;4;1;0.00821917808219178;0;0;0;1;1
A705258;4;0;0.00821917808219178;2;2;1;2;0
A678172;0;1;0.05;0;1;1;1;1
A676736;0;1;0.00821917808219178;1;1;1;1;1
A701575;4;1;0.1;1;1;1;2;1
A674913;0;1;0.15;0;1;0;1;0
A706446;3;0;0.05;0;0;1;1;1
A669540;3;1;0.2;0;1;1;2;1
A709371;4;1;0.1;0;1;0;1;1
A681410;0;0;0.012328767123287671;0;1;0;1;1
A675021;2;0;0.05;0;0;1;1;0
A704179;0;1;0.00821917808219178;1;1;0;1;1
A717839;4;0;0.1;0;1;1;2;0
A700740;0;1;0.05;1;1;0;1;1
A712376;2;0;0.0019178082191780822;2;2;1;1;0
A703952;4;0;0.0038356164383561643;2;2;1;1;1
A713690;4;0;0.1;1;0;1;1;0
A691838;2;1;0.6;1;1;1;1;1
A687789;0;1;0.05;1;1;0;2;0
A704754;0;0;0.00821917808219178;1;1;1;1;1
A707531;4;0;0.0019178082191780822;1;0;1;1;0
A677594;4;1;0.012328767123287671;0;0;1;2;0
A667155;0;0;0.012328767123287671;0;1;1;1;0
A717147;0;1;0.02054794520547945;1;1;1;2;1
A687012;0;1;0.15;0;1;0;1;1
A676200;4;1;0.35;0;1;0;2;1
A676680;2;1;0.1;0;1;1;2;1
A688443;0;0;0.01643835616438356;0;1;1;1;1
A715261;0;1;0.45;0;1;0;2;1
A717008;4;1;0.028767123287671233;1;1;1;2;1
A683416;0;0;0.00821917808219178;1;1;1;2;0
A690658;4;0;0.15;1;0;1;2;0
A695155;0;1;0.15;1;1;1;1;0
A679721;0;1;0.25;1;1;1;2;1
A719113;4;1;0.25;1;1;1;2;1
A665298;4;0;0.0019178082191780822;0;0;1;1;0
A708351;4;0;0.0019178082191780822;2;2;1;1;0
A670681;4;0;0.2;0;1;1;1;1
A699990;3;1;0.2;1;1;1;2;1
A707767;0;0;0.00821917808219178;1;1;1;1;1
A668362;3;1;0.1;0;1;1;2;1
A674577;0;1;0.1;1;1;1;1;1
A674802;3;1;0.45;1;1;1;2;1
A672410;3;1;0.25;1;1;1;1;1
A657753;2;1;0.05;1;1;0;2;1
A663339;0;1;0.1;0;1;1;2;1
A678229;4;0;0.0028767123287671234;1;0;1;1;0
A698694;4;1;0.02054794520547945;1;0;1;2;1
A695971;2;0;0.3;1;0;1;1;0
A674233;0;1;0.05;0;1;1;1;1
A713392;4;1;0.012328767123287671;1;0;1;2;1
A713968;4;0;0.00410958904109589;0;0;1;1;1
A701428;3;1;0.15;0;1;1;1;1
A676146;3;1;0.25;1;1;1;1;1
A679259;0;1;0.4;1;1;0;1;1
A688223;0;1;0.00821917808219178;0;1;1;2;0
A691968;2;0;0.35;0;0;1;1;0
A688871;0;0;0.00821917808219178;0;0;1;1;1
A674530;0;1;0.25;1;1;0;1;1
A718604;0;1;0.05;1;1;1;2;1
A686520;4;0;0.012328767123287671;1;0;1;1;0
A699094;3;1;0.1;1;1;1;2;1
A394547;3;1;0.45;0;1;1;2;1
A662685;0;1;0.15;0;1;1;2;1
A713977;3;0;0.15;0;1;1;1;1
A707781;0;1;0.05;0;1;0;2;1
A694699;4;1;0.1;0;1;1;2;1
A696350;3;1;0.05;0;1;0;1;1
A679102;4;0;0.1;1;1;1;1;1
A698341;3;1;0.1;0;1;1;1;1
A681481;4;0;0.1;0;0;1;2;0
A714177;4;0;0.012328767123287671;2;2;1;1;0
A689601;0;1;0.00410958904109589;0;1;0;1;1
A685062;0;0;0.00821917808219178;1;1;1;2;0
A672453;0;0;0.0410958904109589;1;1;1;1;0
A719480;4;0;0.1;0;1;1;2;1
A702880;0;0;0.00821917808219178;0;1;1;1;1
A714494;0;1;0.024657534246575342;1;1;1;1;1
A711853;0;0;0.00821917808219178;0;1;1;1;1
A688720;0;1;0.05;0;1;1;1;0
A689690;4;1;0.024657534246575342;0;0;1;2;1
A679915;0;0;0.05;0;1;1;2;1
A687991;4;0;0.0028767123287671234;1;0;1;1;0
A707896;0;0;0.1;1;1;1;1;1
A702014;0;1;0.045205479452054796;0;1;1;2;1
A673626;4;1;0.012328767123287671;1;1;1;1;0
A652097;3;1;0.1;0;1;0;1;1
A685180;4;1;0.1;1;1;1;1;1
A707442;0;1;0.1;1;1;1;2;1
A682599;0;0;0.01643835616438356;0;1;0;1;1
A685452;4;1;0.01643835616438356;0;0;0;1;0
A688067;4;0;0.02054794520547945;0;0;1;1;0
A714069;0;0;0.00821917808219178;1;1;1;2;1
A705924;4;1;0.35;1;1;1;2;1
A717167;0;0;0.2;1;1;1;2;1
A711639;4;0;0.0028767123287671234;0;0;1;2;0
A716760;0;1;0.024657534246575342;1;1;1;2;1
A709048;0;1;0.02054794520547945;0;0;1;2;1
A719048;3;1;0.4;0;1;0;1;1
A707437;0;0;0.00821917808219178;1;1;1;1;0
A706387;0;0;0.00410958904109589;0;1;1;2;1
A720668;3;1;0.02054794520547945;0;1;1;1;0
A679341;4;0;0.00410958904109589;1;0;1;1;1
A690519;4;0;0.01643835616438356;1;0;1;1;0
A708769;0;1;0.05;0;1;1;2;1
A681462;0;1;0.1;1;1;0;2;1
A666444;4;0;0.55;0;1;1;1;1
A701153;0;1;0.00821917808219178;1;1;0;1;0
A710071;4;0;0.00821917808219178;1;1;1;2;1
A714602;0;0;0.00821917808219178;0;0;1;1;1
A700707;0;1;0.00410958904109589;0;1;0;2;1
A702563;3;1;0.35;0;1;0;2;1
A679441;4;0;0.000547945205479452;1;0;1;2;0
A715729;3;1;0.2;1;1;0;2;1
A716575;4;1;0.1;0;1;1;2;1
A714462;3;1;0.05;0;1;1;2;1
A717429;3;1;0.1;1;1;1;2;1
A687336;4;0;0.0038356164383561643;0;0;1;1;0
A713364;4;0;0.05;0;0;1;2;1
A701999;0;1;0.1;0;1;0;2;1
A664304;4;0;0.0410958904109589;1;0;1;1;0
A698066;4;1;0.2;0;1;1;1;1
A680585;0;0;0.01643835616438356;0;1;1;2;1
A699715;4;1;0.3;0;1;0;2;1
A702246;0;1;0.036986301369863014;0;1;1;2;0
A711918;0;1;0.15;0;1;0;1;1
A676430;0;0;0.03287671232876712;0;1;1;1;1
A677577;0;1;0.0410958904109589;0;1;0;2;1
A683666;4;0;0.05;1;1;1;2;0
A713754;0;1;0.05;1;1;1;1;1
A703631;0;1;0.05;1;1;1;2;1
A676209;0;1;0.012328767123287671;1;1;1;1;1
A667508;3;1;0.3;1;0;1;2;1
A671105;4;0;0.05;2;2;1;1;0
A676056;3;1;0.1;1;1;1;2;1
A667963;0;1;0.25;0;1;1;2;0
A702207;2;0;0.6;1;1;1;2;0
A672065;0;1;0.1;0;1;1;1;1
A688852;0;1;0.3;1;1;1;2;1
A705885;0;0;0.012328767123287671;1;1;1;1;1
A670949;3;1;0.03287671232876712;0;1;1;1;1
A665666;4;0;0.05;1;1;1;1;1
A714575;4;0;0.75;0;0;1;1;1
A690480;4;1;0.0028767123287671234;0;0;1;2;0
A691636;0;1;0.02054794520547945;1;1;0;2;1
A678482;0;1;0.1;1;1;0;2;0
A687785;0;1;0.1;0;1;1;2;1
A716839;3;1;0.1;1;0;1;2;1
A718547;0;1;0.1;0;1;1;2;0
A687989;4;0;0.0028767123287671234;0;0;1;1;0
A694408;4;1;0.05;0;1;1;2;1
A698940;4;0;0.1;1;0;1;2;0
A666074;4;0;0.0038356164383561643;1;0;1;1;1
A675549;4;1;0.2;1;1;1;2;1
A682131;4;0;0.0028767123287671234;1;0;1;1;0
A674737;0;0;0.00821917808219178;1;0;1;1;1
A719876;4;1;0.05;0;1;1;2;1
A676626;0;1;0.00821917808219178;0;1;1;2;1
A666478;0;1;0.05;0;1;0;2;1
A683507;0;1;0.15;0;1;1;1;0
A487470;2;1;0.45;1;1;0;1;1
A665661;3;0;0.1;0;1;1;2;1
A668260;4;1;0.25;0;1;0;2;0
A716964;3;1;0.1;1;0;1;2;1
A701029;3;1;0.1;1;1;0;1;1
A668506;3;1;0.35;1;1;0;2;1
A684709;4;0;0.05;0;0;1;2;0
A616229;0;0;0.3;0;1;1;2;1
A680336;0;0;0.00821917808219178;1;1;1;2;1
A701898;3;1;0.05;0;1;1;2;1
A666971;0;0;0.00821917808219178;1;1;1;2;0
A691605;3;1;0.3;0;1;1;1;1
A703244;4;0;0.00821917808219178;1;0;1;2;0
A705111;0;1;0.1;0;1;1;2;1
A685460;0;0;0.35;1;1;1;1;1
A716890;0;0;0.012328767123287671;0;1;1;2;1
A715741;0;1;0.15;1;1;1;1;1
A676334;4;0;0.1;0;0;1;1;0
A668122;0;1;0.35;0;1;0;2;0
A702356;2;0;0.00410958904109589;1;0;1;2;0
A664842;3;1;0.1;0;1;1;2;1
A709067;3;1;0.02054794520547945;0;0;1;2;1
A608918;4;1;0.2;1;1;0;2;1
A651596;3;1;0.1;1;1;1;1;1
A720190;4;1;0.35;0;1;1;1;1
A676609;0;1;0.05;1;1;0;1;1
A666504;4;0;0.00410958904109589;1;1;1;2;0
A693272;0;1;0.00410958904109589;1;1;0;2;1
A711607;0;0;0.00821917808219178;1;1;1;2;1
A713337;4;0;0.15;0;0;1;1;0
A672758;4;1;0.2;0;1;0;2;1
A658690;0;1;0.05;0;1;1;2;1
A708390;0;1;0.1;0;1;1;2;1
A703383;4;1;0.5;0;1;0;1;1
A689749;0;0;0.00821917808219178;1;1;1;1;1
A699816;0;1;0.5;0;1;1;1;1
A701791;0;0;0.1;0;1;1;2;1
A625690;3;1;0.35;0;1;1;2;1
A686406;0;1;0.05;1;1;0;2;0
A710318;4;1;0.25;1;1;1;2;1
A698972;3;1;0.3;0;1;1;2;1
A710380;4;0;0.0009589041095890411;2;2;1;1;0
A683309;2;1;0.35;0;1;1;2;0
A640316;0;1;0.05;1;1;1;1;1
A682760;0;1;0.05;1;1;0;2;1
A701707;4;0;0.0019178082191780822;0;0;1;1;0
A669534;4;0;0.05;0;0;1;1;0
A588218;3;1;0.25;1;1;0;2;1
A669795;3;1;0.1;0;1;1;2;1
A674448;0;1;0.0410958904109589;1;1;1;2;1
A701647;4;0;0.012328767123287671;0;0;1;1;0
A672467;0;1;0.036986301369863014;1;1;0;2;1
A712244;4;0;0.00410958904109589;0;0;1;2;0
A677462;4;0;0.0;2;2;1;1;0
A715761;4;0;0.25;0;1;1;1;0
A720860;0;1;0.03287671232876712;0;1;1;2;0
A701337;4;1;0.05;1;0;1;1;0
A710881;0;0;0.00821917808219178;0;1;1;1;1
A663948;3;0;0.012328767123287671;1;1;0;2;1
A699819;3;1;0.7;1;0;1;2;1
A674638;3;1;0.35;1;1;1;1;1
A718743;0;1;0.1;1;1;0;2;1
A714820;4;1;0.024657534246575342;0;1;1;1;1
A667613;0;1;0.045205479452054796;1;1;1;2;1
A696059;0;1;0.15;1;1;1;2;1
A690806;4;0;0.00821917808219178;0;0;1;2;1
A676494;0;1;0.05;1;1;0;2;1
A689138;2;0;0.0038356164383561643;0;0;1;1;0
A599155;2;1;0.2;1;1;1;2;1
A665587;0;0;0.4;1;1;1;1;1
A663555;0;0;0.012328767123287671;0;1;1;1;1
A691345;0;1;0.00821917808219178;0;1;1;2;1
A685242;0;0;0.01643835616438356;0;1;1;1;0
A674659;2;1;0.1;1;0;0;2;0
A683609;3;1;0.3;1;1;1;1;1
A695710;4;1;0.045205479452054796;0;1;1;2;1
A713063;4;1;0.05;0;1;1;2;0
A667520;4;1;0.2;1;1;0;2;0
A685145;0;0;0.00821917808219178;1;1;1;2;1
A716488;4;1;0.1;1;1;1;1;0
A667537;0;1;0.00821917808219178;0;1;1;2;0
A694601;0;0;0.024657534246575342;1;1;1;1;1
A638060;0;0;0.4;1;1;1;2;1
A672067;3;0;0.15;1;1;1;1;1
A684664;0;1;0.1;1;1;1;2;1
A691531;4;1;0.00821917808219178;1;0;1;2;0
A688600;4;0;0.0028767123287671234;0;0;1;1;0
A704032;0;0;0.00821917808219178;0;1;1;1;1
A703630;0;1;0.2;1;1;1;1;1
A668671;4;0;0.25;1;1;1;2;1
A696247;0;1;0.1;0;1;1;2;1
A664380;4;0;0.024657534246575342;0;0;1;1;0
A678185;4;1;0.1;0;1;1;2;0
A687055;3;1;0.5;0;1;0;1;1
A693594;4;0;0.024657534246575342;1;0;1;2;0
A675563;4;0;0.00821917808219178;0;0;1;1;1
A696819;0;1;0.024657534246575342;1;1;1;1;1
A671201;3;1;0.4;1;1;1;1;1
A715573;0;1;0.024657534246575342;1;1;1;1;0
A685899;4;0;0.012328767123287671;1;0;1;1;0
A669510;0;1;0.05;0;1;0;2;1
A697892;0;1;0.05;0;1;1;2;1
A678958;0;1;0.00821917808219178;1;1;1;1;1
A679113;4;0;0.0019178082191780822;2;2;1;1;0
A671079;0;1;0.1;0;1;1;1;0
A687180;0;0;0.00821917808219178;0;1;1;2;0
A686632;3;0;0.036986301369863014;1;1;1;2;1
A693999;4;1;0.2;0;1;1;2;0
A691614;0;1;0.01643835616438356;1;1;0;2;1
A683070;4;0;0.00041095890410958907;1;0;1;1;0
A703781;4;1;0.3;1;0;0;2;1
A668803;0;1;0.00821917808219178;0;1;0;2;1
A675983;4;0;0.03287671232876712;0;0;1;1;0
A684825;4;0;0.00410958904109589;1;0;1;2;1
A667828;4;0;0.01643835616438356;0;0;1;1;0
A707611;0;0;0.00821917808219178;0;0;1;1;1
A677885;3;1;0.1;0;0;1;1;1
A675622;0;1;0.01643835616438356;1;1;0;1;0
A720143;4;0;0.05;1;0;1;1;0
A701793;0;0;0.012328767123287671;0;1;1;2;0
A682824;4;0;0.00821917808219178;1;0;1;2;0
A711494;0;0;0.01643835616438356;0;1;1;2;1
A686319;0;1;0.25;1;1;0;1;1
A671251;3;1;0.1;0;1;1;2;1
A684978;4;0;0.0019178082191780822;0;0;1;1;0
A689449;0;0;0.00821917808219178;0;1;1;1;1
A715812;0;1;0.0410958904109589;0;1;1;2;0
A681003;4;1;0.1;1;1;0;2;0
A715346;0;1;0.0410958904109589;0;1;0;1;1
A683732;4;0;0.0038356164383561643;1;0;1;1;0
A679956;3;1;0.05;1;1;0;2;1
A695297;0;0;0.028767123287671233;0;1;1;2;1
A695950;0;1;0.1;0;1;1;2;1
A694278;4;1;0.35;0;1;0;2;1
A707887;0;0;0.00821917808219178;1;1;1;1;1
A710227;2;0;0.6;1;1;1;2;1
A686918;4;1;0.15;0;0;1;1;1
A693739;4;0;0.012328767123287671;0;1;1;2;1
A711807;0;1;0.1;0;1;0;2;1
A677157;3;1;0.6;0;0;1;1;1
A697921;0;1;0.05;0;1;1;1;1
A686691;4;1;0.15;1;1;1;1;0
A678627;0;0;0.00410958904109589;0;1;1;1;1
A698117;4;1;0.0008219178082191781;2;2;1;1;0
A656110;3;1;0.036986301369863014;0;1;1;1;1
A690723;0;0;0.00821917808219178;0;1;1;2;1
A678099;2;1;0.1;1;1;0;2;1
A717989;3;1;0.35;1;1;1;1;1
A673784;4;1;0.01643835616438356;1;1;1;1;1
A699927;0;0;0.5;1;1;1;1;1
A671889;3;1;0.25;0;1;1;1;1
A697627;0;1;0.1;0;1;0;2;1
A685945;0;1;0.25;1;1;1;2;1
A689951;0;0;0.02054794520547945;1;1;1;1;1
A699499;0;0;0.05;1;1;1;2;0
A715735;4;1;0.05;1;0;0;2;1
A688501;4;0;0.01643835616438356;1;1;1;1;1
A672263;4;1;0.1;0;1;0;2;1
A672744;2;1;0.15;1;0;1;2;1
A701165;4;0;0.0038356164383561643;1;0;0;1;0
A702973;4;0;0.0028767123287671234;2;2;1;2;0
A705338;4;0;0.0028767123287671234;0;0;1;1;0
A696609;4;1;0.1;0;1;0;1;1
A714481;0;1;0.05;1;1;1;2;1
A685178;4;0;0.0019178082191780822;1;0;1;1;0
A689596;0;1;0.1;1;1;1;2;0
A714546;3;1;0.036986301369863014;1;0;0;2;1
A671352;0;1;0.15;1;1;0;1;1
A705656;2;0;0.00410958904109589;0;0;1;1;1
A695943;0;1;0.1;1;1;0;1;1
A719517;4;0;0.1;1;1;1;1;0
A682535;4;1;0.01643835616438356;1;1;1;2;0
A713263;3;1;0.15;1;0;0;1;1
A681679;4;1;0.05;1;1;1;2;1
A687906;4;0;0.00410958904109589;1;0;1;2;1
A678536;0;1;0.05;0;1;1;2;1
A718585;4;1;0.00821917808219178;1;1;1;2;0
A543073;3;1;0.45;0;1;0;1;1
A697959;0;1;0.1;1;1;1;1;1
A715378;0;1;0.024657534246575342;0;1;1;2;1
A697281;0;1;0.012328767123287671;1;1;0;1;0
A681576;0;1;0.00410958904109589;1;1;0;2;1
A716400;4;1;0.05;0;0;1;2;1
A677460;0;1;0.1;0;1;1;2;1
A675049;3;1;0.15;0;1;1;2;1
A710655;0;0;0.00821917808219178;1;0;1;1;1
A660046;3;1;0.1;0;1;1;2;1
A660910;3;1;0.1;1;1;0;2;1
A686377;0;1;0.00821917808219178;1;1;1;2;0
A679631;2;0;0.6;0;1;1;1;1
A671682;4;0;0.1;1;1;1;1;0
A695654;2;1;0.03287671232876712;0;0;1;1;1
A718566;2;0;0.5;0;0;1;2;1
A680351;0;0;0.00821917808219178;1;1;1;1;1
A680506;0;1;0.012328767123287671;1;1;1;2;1
A650694;3;1;0.05;1;1;0;2;1
A681414;4;0;0.1;0;0;1;1;0
A714972;0;0;0.00821917808219178;1;1;1;1;1
A682833;0;0;0.012328767123287671;0;1;1;1;1
A698953;0;1;0.35;0;1;1;1;0
A696584;0;1;0.1;0;1;1;1;1
A690020;3;1;0.01643835616438356;0;0;1;2;1
A716340;0;0;0.00821917808219178;0;1;1;1;1
A707004;0;0;0.012328767123287671;1;1;1;2;1
A667031;4;0;0.1;0;1;1;2;1
A667129;0;0;0.024657534246575342;0;1;1;2;1
A700119;4;0;0.000547945205479452;0;0;1;1;0
A676270;0;0;0.012328767123287671;0;1;1;1;0
A684362;0;0;0.02054794520547945;0;1;1;1;1
A712984;4;0;0.00821917808219178;1;1;1;2;1
A688544;4;0;0.00410958904109589;0;0;1;2;1
A663346;2;1;0.05;0;1;1;2;1
A665221;4;1;0.00410958904109589;1;0;1;2;0
A667366;3;1;0.15;0;1;1;2;0
A657652;0;1;0.15;1;1;0;1;1
A611032;3;1;0.3;1;0;0;1;1
A707464;0;1;0.03287671232876712;1;0;1;2;1
A687966;0;0;0.01643835616438356;1;1;1;2;0
A643703;3;1;0.15;1;1;1;1;1
A668595;3;1;0.0038356164383561643;1;0;1;1;0
A716197;3;0;0.00821917808219178;0;1;1;1;1
A713418;4;1;0.00821917808219178;1;0;1;2;0
A711562;2;1;0.05;1;0;0;1;1
A716766;3;1;0.25;1;1;1;1;1
A616576;3;1;0.35;0;1;0;1;1
A705109;0;0;0.00821917808219178;0;1;1;1;0
A663819;3;1;0.15;1;1;1;2;1
A689629;0;0;0.00410958904109589;0;0;1;1;0
A713084;0;1;0.3;1;1;1;1;1
A699468;4;1;0.00821917808219178;0;0;1;2;1
A700335;2;1;0.1;1;1;1;2;1
A713668;4;0;0.0019178082191780822;2;2;1;2;0
A695428;4;0;0.05;0;0;1;2;0
A653055;3;1;0.1;0;1;1;2;1
A682724;0;0;0.00821917808219178;1;1;1;1;1
A713886;0;0;0.00821917808219178;1;1;1;1;1
A668396;2;0;0.4;1;1;1;1;0
A717176;4;1;0.0009589041095890411;2;2;1;1;0
A707573;3;1;0.6;1;1;1;1;1
A690543;3;1;0.05;0;1;1;2;1
A704459;3;1;0.55;0;1;0;1;1
A687643;4;0;0.0019178082191780822;0;0;1;2;0
A675640;3;1;0.1;1;1;1;2;1
A694435;4;1;0.1;1;1;1;2;1
A668653;0;1;0.1;1;1;1;1;1
A705804;3;1;0.15;1;1;1;1;1
A706506;4;0;0.0006849315068493151;2;2;1;1;0
A702756;2;0;0.0028767123287671234;1;0;1;2;0
A674264;0;1;0.0410958904109589;0;1;1;1;0
A665741;3;0;0.35;0;1;1;1;1
A510475;3;1;0.35;1;1;1;2;1
A641103;3;1;0.15;1;0;0;2;1
A660275;3;1;0.1;0;1;0;1;1
A716089;3;0;0.1;1;1;1;1;0
A717706;3;1;0.05;0;1;1;1;1
A716729;0;0;0.02054794520547945;0;1;1;1;1
A690333;4;0;0.03287671232876712;2;2;1;1;0
A688552;0;0;0.012328767123287671;1;0;1;1;1
A698495;0;1;0.05;1;1;1;1;1
A658728;0;0;0.01643835616438356;0;1;1;2;1
A672515;4;0;0.05;1;0;1;1;0
A686675;4;1;0.05;1;1;1;2;1
A707682;0;0;0.00821917808219178;1;1;1;1;1
A667942;0;1;0.03287671232876712;0;1;1;1;1
A709224;4;0;0.05;0;0;1;1;0
A687003;3;1;0.25;1;1;1;1;1
A711255;4;1;0.0038356164383561643;0;0;1;1;0
A680426;3;1;0.15;0;1;1;1;1
A697537;0;1;0.15;0;1;1;2;1
A695905;0;1;0.00821917808219178;0;1;1;1;1
A705731;4;1;0.012328767123287671;1;0;1;2;1
A700025;3;1;0.5;0;0;1;2;1
A624771;3;1;0.25;1;1;1;1;1
A715798;4;0;0.0038356164383561643;1;0;1;1;0
A526641;4;1;0.35;1;1;0;2;1
A695768;3;1;0.05;0;1;0;1;1
A709277;0;0;0.012328767123287671;1;0;1;1;1
A586923;3;0;0.2;1;1;1;2;1
A682900;3;1;0.15;0;0;1;2;1
A671435;0;1;0.00410958904109589;1;1;1;2;1
A701297;4;0;0.0019178082191780822;0;0;1;1;0
A711800;4;0;0.0019178082191780822;2;2;1;1;0
A707972;4;0;0.0008219178082191781;2;2;1;1;0
A697766;3;1;0.05;0;1;1;2;1
A665644;4;0;0.0038356164383561643;0;0;1;1;0
A664059;3;0;0.4;0;1;1;1;1
A676752;4;0;0.00410958904109589;0;0;1;2;1
A720466;3;1;0.5;1;1;0;2;1
A716110;3;0;0.01643835616438356;1;1;1;1;1
A703750;3;1;0.15;1;1;1;1;1
A696236;4;1;0.1;1;0;0;1;1
A670716;3;1;0.4;0;1;1;1;1
A673103;0;1;0.15;0;1;0;2;1
A688281;0;1;0.036986301369863014;1;1;0;2;1
A666109;0;0;0.012328767123287671;1;1;1;2;1
A700948;2;1;0.45;2;2;0;2;0
A689384;0;1;0.05;1;1;0;1;1
A671054;0;0;0.01643835616438356;0;1;1;1;1
A679167;2;0;0.2;1;0;1;1;0
A702935;3;1;0.1;0;1;1;2;1
A680027;4;1;0.0019178082191780822;1;0;1;2;0
A691171;0;0;0.00821917808219178;1;1;1;1;1
A693032;0;0;0.5;1;1;1;2;1
A663585;4;0;0.00821917808219178;0;0;1;1;1
A586222;3;1;0.15;1;1;1;2;1
A692591;4;0;0.3;1;1;1;2;1
A675402;4;1;0.35;0;1;0;2;1
A700765;0;0;0.00821917808219178;0;1;1;1;1
A657197;0;0;0.01643835616438356;1;1;1;1;1
A715843;4;1;0.25;1;1;1;1;1
A691568;3;1;0.3;1;1;1;2;1
A665953;2;0;0.4;1;1;1;2;0
A681155;2;1;0.1;1;1;0;2;1
A714509;0;0;0.00821917808219178;1;1;1;1;0
A702846;0;1;0.01643835616438356;0;1;0;1;0
A685087;2;0;0.05;2;2;1;2;0
A718953;0;1;0.00821917808219178;1;1;0;1;0
A668708;0;0;0.25;1;1;1;2;1
A703243;4;0;0.00821917808219178;0;1;1;2;0
A706454;3;0;0.15;1;1;1;2;1
A668697;3;1;0.15;1;1;1;1;1
A717656;0;1;0.15;0;1;1;1;0
A681176;4;0;0.00410958904109589;0;0;1;1;1
A663020;0;1;0.00821917808219178;0;1;1;1;1
A717029;0;0;0.1;0;1;1;1;1
A717056;3;0;0.2;1;1;1;2;1
A705794;1;0;0.0028767123287671234;1;0;1;1;1
A695093;0;1;0.35;1;1;0;2;1
A707083;4;0;0.00821917808219178;0;0;1;1;1
A670540;0;1;0.2;0;1;0;2;1
A687554;4;0;0.00821917808219178;1;1;1;2;1
A715898;4;0;0.1;2;2;1;1;0
A709799;4;1;0.00410958904109589;0;0;1;1;0
A680245;0;0;0.15;1;1;1;1;1
A681404;0;0;0.012328767123287671;0;1;1;1;1
A666083;2;0;0.0038356164383561643;1;0;1;1;0
A711832;4;1;0.00410958904109589;0;0;1;1;0
A719849;4;1;0.02054794520547945;0;1;1;2;1
A683147;0;0;0.00821917808219178;0;1;1;1;1
A680380;1;0;0.00410958904109589;1;0;1;1;0
A716898;0;1;0.1;0;1;1;2;1
A666137;0;1;0.6;0;1;1;1;1
A693627;3;1;0.1;1;1;0;2;1
A717028;3;1;0.036986301369863014;1;0;1;2;1
